  ASMLAB05.cpp
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(14,2): error C4235: nonstandard extension used: '__asm' keyword not supported on this architecture
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(16,3): error C2065: 'finit': undeclared identifier
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(17,3): error C2065: 'fldz': undeclared identifier
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(18,3): error C2065: 'fld1': undeclared identifier
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(19,3): error C2146: syntax error: missing ';' before identifier 'fld'
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(19,3): error C2065: 'fld': undeclared identifier
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(19,7): error C2146: syntax error: missing ';' before identifier 'st'
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(19,7): error C3861: 'st': identifier not found
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(20,3): error C2146: syntax error: missing ';' before identifier 'fld'
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(20,3): error C2065: 'fld': undeclared identifier
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(20,7): error C2146: syntax error: missing ';' before identifier 'x'
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(21,3): error C2146: syntax error: missing ';' before identifier 'fcomi'
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(21,3): error C2065: 'fcomi': undeclared identifier
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(21,9): error C2146: syntax error: missing ';' before identifier 'st'
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(21,9): error C3861: 'st': identifier not found
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(21,16): error C3861: 'st': identifier not found
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(22,3): error C2146: syntax error: missing ';' before identifier 'jle'
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(22,3): error C2065: 'jle': undeclared identifier
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(22,7): error C2146: syntax error: missing ';' before identifier 'error_exit'
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(22,7): error C2065: 'error_exit': undeclared identifier
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(23,3): error C2146: syntax error: missing ';' before identifier 'fyl2x'
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(23,3): error C2065: 'fyl2x': undeclared identifier
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(24,3): error C2146: syntax error: missing ';' before identifier 'fld'
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(24,3): error C2065: 'fld': undeclared identifier
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(24,7): error C2146: syntax error: missing ';' before identifier 'k1'
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(25,3): error C2146: syntax error: missing ';' before identifier 'fmulp'
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(25,3): error C2065: 'fmulp': undeclared identifier
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(25,9): error C2146: syntax error: missing ';' before identifier 'st'
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(25,9): error C3861: 'st': identifier not found
C:\Users\Lidgqqq\Desktop\LRs\LRs\(EVM) LAB05\ASMLAB05.cpp(25,16): error C3861: 'st': identifier not found
